Рабочее наименование;Наименование для печати;Код;Артикул;Количество товара;Цена;Мера;Категория товара;Объём продаж
"Лапша узкая ""Рахимов"" 1,0кг*10";"Лапша узкая ""Рахимов"" 1,0кг*11";ЛУ011;220;1285;36,90;пач;Лапша домашняя;346
"Лапша широкая ""Рахимов"" 1,0кг*10";"Лапша широкая ""Рахимов"" 1,0кг*11";ЛУ111;221;549;36,90;пач;Лапша домашняя;362
"Масло подс.""Золотая семечка"" 1,8л*6";"Масло подс.""Золотая семечка"" 1,8л*7";МП186;276;693;148,00;бут;Масло растительное;1250
"Масло подс.""Золотая семечка"" 1л*15";"Масло подс.""Золотая семечка"" 1л*16";МП115;277;1206;73,80;бут;Масло растительное;1016
"Масло подс.""Золотая семечка"" 3л*6";"Масло подс.""Золотая семечка"" 3л*7";МП360;278;1404;244,00;бут;Масло растительное;417
"Масло подс.""Золотая семечка"" 5л*4";"Масло подс.""Золотая семечка"" 5л*5";МП540;279;541;404,00;бут;Масло растительное;1177
"Шпроты""5 морей"" в масле 160гр*36";"Шпроты""5 морей"" в масле 160гр*36";ШМ136;436;878;59,20;шт;Консервы;313
"Шпроты""5 морей"" в масле 160гр*72";"Шпроты""5 морей"" в масле 160гр*72";ШМ172;437;1075;59,20;шт;Консервы;467
"Шпроты""5 морей"" в масле 240гр*24";"Шпроты""5 морей"" в масле 240гр*24";ШМ224;438;1062;80,00;шт;Консервы;721
"Шпроты""5 морей"" в масле 240гр*48";"Шпроты""5 морей"" в масле 240гр*48";ШМ248;439;553;80,00;шт;Консервы;747
"Молоко сгущеное ""Алексеевское"" ГОСТ 380гр*45";"Молоко сгущеное ""Алексеевское"" ГОСТ 380гр*46";МСА45;509;522;59,50;шт;Молоко сгущёное;901
"Молоко сгущеное ""Верховье"" 380гр*20";"Молоко сгущеное ""Верховье"" 380гр*21";МУВ20;510;558;42,00;шт;Молоко сгущёное;616
"Молоко сгущеное ""Рогачев"" 380гр*30";"Молоко сгущеное ""Рогачев"" 380гр*31";МУР30;511;1271;61,70;шт;Молоко сгущёное;954
Кукуруза Vitaland 340гр*12;Кукуруза Vitaland 340гр*12;КВ112;805;808;37,40;шт;Кукуруза;513
Кукуруза Vitaland 340гр*24;Кукуруза Vitaland 340гр*24;КВ224;806;961;38,40;шт;Кукуруза;611
"Томатная паста ""Моравка"" 1кг*3";"Томатная паста ""Моравка"" 1кг*4";ТП013;656;837;78,60;шт;Томатная паста;457
"Томатная паста ""Моравка"" 270гр*7";"Томатная паста ""Моравка"" 270гр*8";Тп277;655;536;31,40;шт;Томатная паста;684
"Хлопья из 5-ти злаков ""Царь"" 0,4кг*19";"Хлопья из 5-ти злаков ""Царь"" 0,4кг*20";ХЗЦ520;720;903;25,80;шт;Хлопья;1296
"Хлопья из 6-ти злаков ""Царь"" 0,4кг*19";"Хлопья из 6-ти злаков ""Царь"" 0,4кг*20";ХЗЦ620;721;576;29,70;шт;Хлопья;388
"Хлопья из 7-ти злаков ""Царь"" 0,4кг*19";"Хлопья из 7-ти злаков ""Царь"" 0,4кг*20";ХЗЦ720;722;989;29,70;шт;Хлопья;719
"Хлопья овсяные ""Геркулес"" 0,4кг*13";"Хлопья овсяные ""Геркулес"" 0,4кг*14";ХОГ14;749;1071;44,30;шт;Хлопья;453
Хлопья овсяные тонкие 0,4кг*13;Хлопья овсяные тонкие 0,4кг*14;ХОВ414;742;1467;36,50;шт;Хлопья;1249
Хлопья овсяные традиционные 0,4кг*13;Хлопья овсяные традиционные 0,4кг*14;ХОТ14;741;1100;32,70;шт;Хлопья;595
Горох дроб в пак.для варки 5*80гр*14;Горох дроб в пак.для варки 5*80гр*15;ГД58014;947;531;48,80;шт;Крупы;519
Перловая в пакет.для варки 5*80гр*14;Перловая в пакет.для варки 5*80гр*15;ПА58014;940;889;35,20;шт;Крупы;261
Рис длиннозер. в пак.для варки 5*80гр*14;Рис длиннозер. в пак.для варки 5*80гр*15;РДЛИ58014;942;1100;50,80;шт;Крупы;1067
Рис пропаренный в пак.для варки 5*80гр*14;Рис пропаренный в пак.для варки 5*80гр*15;РПРО58014;946;663;50,50;шт;Крупы;587
Рис круглозёрный в пак.для варки 5*80гр*14;Рис круглозёрный в пак.для варки 5*80гр*15;РКРУ58014;945;796;48,80;шт;Крупы;756
"Смесь ""Дружба"" в пак.для варки 5*80гр*14";"Смесь ""Дружба"" в пак.для варки 5*80гр*15";С58014;141;1355;51,50;шт;Крупы;415
Чечевица в пак.для варки 5*80гр*14;Чечевица в пак.для варки 5*80гр*15;ЧЦ58014;146;1459;70,60;шт;Крупы;1229
